,Street Name,count
0,EASTERN PARKWAY,1027
1,GRAND CONCOURSE,1004
2,BROADWAY,825
3,ST JOHNS PLACE,613
4,LAFAYETTE AVENUE,606
5,BEDFORD AVENUE,602
6,PUTNAM AVENUE,598
7,JEFFERSON AVENUE,585
8,MADISON STREET,578
9,WALLACE AVENUE,572
10,GREENE AVENUE,549
11,HALSEY STREET,547
12,AMSTERDAM AVENUE,538
13,LINCOLN PLACE,506
14,BERGEN STREET,498
15,HANCOCK STREET,488
16,WASHINGTON AVENUE,487
17,MORRIS AVENUE,487
18,DEKALB AVENUE,486
19,PARK PLACE,473
20,OCEAN AVENUE,470
21,DEAN STREET,470
22,LEXINGTON AVENUE,467
23,WALTON AVENUE,461
24,UNION STREET,450
25,HART STREET,448
26,PROSPECT PLACE,442
27,ST MARKS AVENUE,442
28,ST NICHOLAS AVENUE,438
29,PACIFIC STREET,436
30,STERLING PLACE,432
31,WEST  107 STREET,431
32,RIVERSIDE DRIVE,421
33,UNIVERSITY AVENUE,400
34,GRAND AVENUE,397
35,MANHATTAN AVENUE,395
36,BROOKLYN AVENUE,388
37,BUSHWICK AVENUE,388
38,PROSPECT AVENUE,385
39,DECATUR AVENUE,374
40,GATES AVENUE,371
41,WEST  116 STREET,368
42,BRYANT AVENUE,368
43,CARROLL STREET,365
44,CLAY AVENUE,356
45,FRANKLIN AVENUE,344
46,FULTON STREET,342
47,SHERIDAN AVENUE,336
48,7 AVENUE,335
49,WILLOUGHBY AVENUE,322
50,DAVIDSON AVENUE,320
51,MONROE STREET,315
52,MONTGOMERY STREET,313
53,PRESIDENT STREET,310
54,NOSTRAND AVENUE,307
55,LINDEN BOULEVARD,302
56,PARK AVENUE,300
57,DECATUR STREET,299
58,METROPOLITAN AVENUE,294
59,5 AVENUE,292
60,WEST END AVENUE,290
61,QUINCY STREET,277
62,ATLANTIC AVENUE,275
63,SOUTHERN BOULEVARD,274
64,NEW YORK AVENUE,273
65,8 AVENUE,272
66,SEDGWICK AVENUE,271
67,CRESTON AVENUE,263
68,WEST  147 STREET,258
69,WEST  108 STREET,250
70,FORT WASHINGTON AVENUE,250
71,HARMAN STREET,250
72,GROVE STREET,246
73,WEST  109 STREET,239
74,ROGERS AVENUE,238
75,CROWN STREET,235
76,1 AVENUE,233
77,CLIFTON PLACE,229
78,TIEBOUT AVENUE,227
79,MACON STREET,227
80,JEFFERSON STREET,227
81,HERKIMER STREET,225
82,3 AVENUE,224
83,WEBSTER AVENUE,224
84,2 AVENUE,223
85,STANHOPE STREET,221
86,PALMETTO STREET,218
87,CRUGER AVENUE,212
88,OCEAN PARKWAY,212
89,PULASKI STREET,210
90,VALENTINE AVENUE,209
91,CRESCENT STREET,205
92,CORNELIA STREET,204
93,WEST   94 STREET,204
94,UNION AVENUE,202
95,EAST   21 STREET,202
96,EAST   83 STREET,201
97,CROTONA AVENUE,200
98,GERARD AVENUE,199
99,MYRTLE AVENUE,199
100,ANDERSON AVENUE,198
101,LINDEN STREET,195
102,MENAHAN STREET,194
103,LENOX ROAD,193
104,COOPER STREET,192
105,6 AVENUE,190
106,WILSON AVENUE,190
107,HOLLAND AVENUE,190
108,IRVING AVENUE,189
109,EAST   17 STREET,189
110,60 STREET,187
111,BELMONT AVENUE,187
112,WEST   95 STREET,186
113,GRAND STREET,186
114,CLINTON AVENUE,186
115,MACDONOUGH STREET,185
116,ROCKAWAY PARKWAY,182
117,WOODBINE STREET,181
118,4 AVENUE,181
119,HIMROD STREET,181
120,WHITE PLAINS ROAD,180
121,CARLTON AVENUE,180
122,EAST   18 STREET,180
123,EAST  138 STREET,180
124,HENRY STREET,180
125,SHERMAN AVENUE,180
126,COLUMBUS AVENUE,178
127,BOYNTON AVENUE,178
128,48 STREET,177
129,EVERGREEN AVENUE,177
130,CHAUNCEY STREET,177
131,LEFFERTS PLACE,176
132,WEST  122 STREET,174
133,LORIMER STREET,174
134,AVENUE H,172
135,PARKSIDE AVENUE,172
136,BRUCKNER BOULEVARD,171
137,WEST  141 STREET,171
138,VAN BUREN STREET,171
139,EAST   19 STREET,170
140,EAST   88 STREET,170
141,29 STREET,170
142,WEST  142 STREET,170
143,WEST  148 STREET,169
144,73 STREET,166
145,41 STREET,166
146,OLINVILLE AVENUE,166
147,PERRY AVENUE,165
148,76 STREET,165
149,72 STREET,164
150,CLASSON AVENUE,164
151,BAINBRIDGE AVENUE,164
152,JEROME AVENUE,162
153,SENECA AVENUE,160
154,NELSON AVENUE,159
155,WEST  104 STREET,158
156,FLUSHING AVENUE,158
157,35 STREET,157
158,BAINBRIDGE STREET,157
159,WEST  111 STREET,157
160,EAST  117 STREET,157
161,POST AVENUE,156
162,46 STREET,156
163,WEST   47 STREET,155
164,HILLSIDE AVENUE,154
165,BLEECKER STREET,154
166,32 STREET,153
167,TOMPKINS AVENUE,153
168,EAST   94 STREET,153
169,SAINT NICHOLAS AVENUE,152
170,EAST   78 STREET,152
171,MORGAN AVENUE,151
172,SAINT JOHNS PLACE,151
173,HULL AVENUE,150
174,33 STREET,150
175,114 DRIVE,150
176,WEST  113 STREET,148
177,JAMAICA AVENUE,146
178,WEST  139 STREET,145
179,45 STREET,144
180,TINTON AVENUE,143
181,RYER AVENUE,142
182,LIBERTY AVENUE,142
183,PITKIN AVENUE,141
184,SAINT MARKS AVENUE,141
185,BAILEY AVENUE,141
186,WEST  123 STREET,140
187,WEST   93 STREET,140
188,ALBANY AVENUE,140
189,BARNES AVENUE,139
190,FOX STREET,139
191,49 STREET,139
192,WEST  135 STREET,139
193,EAST   81 STREET,139
194,VERNON AVENUE,139
195,FOREST AVENUE,138
196,28 STREET,137
197,WEST   80 STREET,136
198,LENOX AVENUE,136
199,GRANT AVENUE,136
200,COLLEGE AVENUE,136
201,PARSONS BOULEVARD,135
202,EAST  187 STREET,135
203,40 STREET,134
204,RALPH AVENUE,133
205,CONEY ISLAND AVENUE,133
206,CENTRAL AVENUE,133
207,WEST  137 STREET,132
208,EAST   73 STREET,132
209,EAST  163 STREET,132
210,WOODYCREST AVENUE,131
211,BRONX PARK EAST,130
212,ST NICHOLAS PLACE,130
213,12 STREET,129
214,EAST  116 STREET,129
215,WEST 107 STREET,128
216,79 STREET,128
217,MARCY AVENUE,128
218,STOCKHOLM STREET,127
219,WEST   49 STREET,126
220,BOSTON ROAD,126
221,TROUTMAN STREET,126
222,OGDEN AVENUE,126
223,BREVOORT PLACE,126
224,STRATFORD AVENUE,125
225,STARR STREET,124
226,COMMONWEALTH AVENUE,124
227,64 STREET,124
228,EAST    9 STREET,124
229,WEST  144 STREET,124
230,EAST   10 STREET,124
231,71 STREET,123
232,LONGFELLOW AVENUE,123
233,SUYDAM STREET,123
234,EAST   82 STREET,123
235,20 STREET,123
236,FLATBUSH AVENUE,122
237,WEBB AVENUE,121
238,HUGHES AVENUE,120
239,KINGS HIGHWAY,120
240,EAST   11 STREET,119
241,EAST  172 STREET,119
242,MARION AVENUE,119
243,KELLY STREET,119
244,WEST  172 STREET,119
245,EAST   87 STREET,118
246,SHAKESPEARE AVENUE,118
247,LELAND AVENUE,118
248,MADISON AVENUE,118
249,KOSCIUSZKO STREET,118
250,FAILE STREET,117
251,ELDRIDGE STREET,117
252,KINGSTON AVENUE,117
253,94 STREET,116
254,WEIRFIELD STREET,116
255,AUDUBON AVENUE,115
256,CLINTON STREET,113
257,ST MARKS PLACE,113
258,67 STREET,112
259,LEFFERTS AVENUE,112
260,WEST  119 STREET,112
261,WEST  149 STREET,112
262,BRIGGS AVENUE,111
263,EAST   85 STREET,111
264,VANDERBILT AVENUE,111
265,EAST    2 STREET,111
266,SCHENECTADY AVENUE,110
267,RIVERDALE AVENUE,110
268,HOWARD AVENUE,110
269,WEST   71 STREET,110
270,KINGSLAND AVENUE,109
271,COVERT STREET,109
272,44 STREET,108
273,TROY AVENUE,108
274,WYCKOFF AVENUE,108
275,WEST  146 STREET,108
276,TAYLOR AVENUE,107
277,EAST   90 STREET,107
278,WEST   82 STREET,107
279,VERMILYEA AVENUE,107
280,WEST  145 STREET,107
281,MALCOLM X BOULEVARD,106
282,KINGSBRIDGE TERRACE,106
283,CROES AVENUE,106
284,STATE STREET,106
285,SACKETT STREET,106
286,SEAMAN AVENUE,105
287,WEST   29 STREET,105
288,WEST  152 STREET,104
289,INTERVALE AVENUE,104
290,WEST  150 STREET,104
291,EAST    3 STREET,104
292,WEST  120 STREET,104
293,WEST  106 STREET,104
294,83 STREET,102
295,NEWKIRK AVENUE,102
296,NORFOLK STREET,102
297,WEST  121 STREET,101
298,78 STREET,101
299,62 STREET,101
300,PELHAM PARKWAY SOUTH,101
301,MATTHEWS AVENUE,101
302,WARREN STREET,101
303,LINCOLN ROAD,100
304,WEST   90 STREET,100
305,WADSWORTH AVENUE,100
306,KENT AVENUE,99
307,WEST   22 STREET,99
308,EMPIRE BOULEVARD,99
309,65 PLACE,99
310,TOPPING AVENUE,99
311,EAST   16 STREET,99
312,MARKET STREET,99
313,DEVOE STREET,98
314,HEATH AVENUE,98
315,WEST   48 STREET,97
316,BATHGATE AVENUE,97
317,WEST   87 STREET,97
318,9 STREET,96
319,EAST    6 STREET,96
320,DAVIDSON AVE,96
321,WEST   84 STREET,96
322,63 STREET,96
323,ANDREWS AVENUE,96
324,42 STREET,96
325,MILLER AVENUE,96
326,15 STREET,95
327,HOE AVENUE,95
328,KNICKERBOCKER AVENUE,95
329,FOSTER AVENUE,95
330,10 AVENUE,95
331,84 STREET,95
332,69 STREET,95
333,AVENUE D,94
334,54 STREET,94
335,GRAHAM AVENUE,94
336,ROSEDALE AVENUE,94
337,ESSEX STREET,94
338,EAST 93 STREET,93
339,EAST   93 STREET,93
340,WEST   85 STREET,93
341,WEST  151 STREET,93
